"ROADID","Dir","i","j","AUTO","SUT","MUT","SPEED","LENGTH","num_lanes","FCLASS","zone","County","waterf","noisef"
1604,1,35492,35531,284.670932,0.000000,3.426379,30.000000,0.176493,1,81,181411,PERRY,1,1
1605,1,33221,33273,417.538397,0.000000,86.101743,29.999980,0.201905,1,81,180994,PIKE,1,1
1606,1,33273,32617,417.538397,0.000000,86.101743,29.999979,0.215248,1,81,180994,PIKE,1,1
1607,1,32585,33274,559.744471,0.000000,651.528564,29.997396,0.179243,1,81,180994,PIKE,1,1
1608,1,33274,33266,559.744471,0.000000,651.528564,29.997397,0.178957,1,81,180994,PIKE,1,1
1646,1,34813,34833,58.756355,0.000000,1.612084,30.000000,0.008177,1,81,181402,SPENCER,1,1
1647,1,34833,34812,58.756355,0.000000,1.612084,30.000000,0.008177,1,81,181403,SPENCER,1,1
1666,1,31154,31184,83.302098,0.000000,0.356199,38.999998,0.134640,1,6,181255,WARRICK,1,1
1666,-1,31184,31154,88.229390,0.000000,3.557021,38.999998,0.134640,1,6,181255,WARRICK,1,1
1667,1,31184,31182,83.302098,0.000000,0.356199,39.000001,0.134703,1,6,181255,WARRICK,1,1
1667,-1,31182,31184,88.229390,0.000000,3.557021,39.000001,0.134703,1,6,181255,WARRICK,1,1
1668,1,31182,31183,83.302098,0.000000,0.356199,39.000002,0.134635,1,6,181288,WARRICK,1,1
1668,-1,31183,31182,88.229390,0.000000,3.557021,39.000002,0.134635,1,6,181288,WARRICK,1,1
1669,1,31183,31155,83.302098,0.000000,0.356199,39.000000,0.134705,1,6,181288,WARRICK,1,1
1669,-1,31155,31183,88.229390,0.000000,3.557021,39.000000,0.134705,1,6,181288,WARRICK,1,1
1673,1,30926,30927,3991.416201,0.000000,1079.133568,73.989871,0.076176,2,1,181268,WARRICK,1,1
1674,1,30927,30574,3991.416201,0.000000,1079.133568,73.989871,0.076122,2,1,181268,WARRICK,1,1
1675,1,29551,29518,714.408656,0.000000,82.085198,29.999910,0.189005,1,81,181252,WARRICK,1,1
1676,1,29518,29519,714.408656,0.000000,82.085198,29.999911,0.185557,1,81,181252,WARRICK,1,1
1677,1,32322,32561,666.445108,0.000000,123.773541,29.999889,0.180913,1,81,181390,WARRICK,1,1
1678,1,32561,32564,666.445108,0.000000,123.773541,29.999888,0.184357,1,81,181390,WARRICK,1,1
1715,1,30240,30269,5847.587190,0.000000,13.400314,29.957912,0.213395,1,81,181318,WARRICK,1,1
1718,1,39338,39339,8101.752003,0.000000,8849.376111,67.440204,9.520684,2,1,180527,MONROE,1,1
1719,1,39834,39835,1235.632329,0.000000,19.316220,29.999650,0.203284,1,81,180562,GREENE,1,1
1720,1,39835,39841,1235.632329,0.000000,19.316220,29.999649,0.197403,1,81,180562,GREENE,1,1
1721,1,39843,39845,99.628449,0.000000,2.741388,30.000000,0.112739,1,81,180562,GREENE,1,1
1722,1,39845,39773,99.628449,0.000000,2.741388,30.000000,0.113993,1,81,180562,GREENE,1,1
1775,1,36364,36955,8124.133382,0.000000,1896.091715,71.829833,4.319869,2,1,181197,CRAWFORD,1,1
1776,1,36955,36993,1571.325237,0.000000,31.642128,29.999046,0.209954,1,81,181454,CRAWFORD,1,1
1777,1,36993,36989,1571.325237,0.000000,31.642128,29.999047,0.207707,1,81,181454,CRAWFORD,1,1
1778,1,33389,33547,916.755203,0.000000,199.414417,29.999512,0.180426,1,81,180423,DAVIESS,1,1
1779,1,33547,33537,916.755203,0.000000,199.414417,29.999510,0.179897,1,81,180423,DAVIESS,1,1
2069,1,32711,32763,5988.345680,0.000000,7372.615804,69.991974,0.153141,2,1,180967,PIKE,1,1
2070,1,32763,32764,5988.345680,0.000000,7372.615804,69.991975,0.154565,2,1,180967,PIKE,1,1
2154,1,39357,39790,83.956530,0.000000,1.679631,30.000000,0.239547,1,81,180516,GREENE,1,1
2155,1,39790,39780,83.956530,0.000000,1.679631,30.000000,0.238309,1,81,180516,GREENE,1,1
2217,1,36868,36860,621.269450,0.000000,49.493617,29.999962,0.176352,1,81,181443,CRAWFORD,1,1
2218,1,36860,34027,621.269450,0.000000,49.493617,29.999962,0.166541,1,81,181443,CRAWFORD,1,1
2219,1,36989,36990,1035.247070,0.000000,69.900538,29.999729,0.216033,1,81,181455,CRAWFORD,1,1
2220,1,36990,36740,1035.247070,0.000000,69.900538,29.999729,0.220767,1,81,181455,CRAWFORD,1,1
2221,1,32618,990232,4811.515463,0.000000,7298.073224,70.405407,6.599235,2,1,180937,DAVIESS,1,1
2222,1,33855,33870,1632.076912,0.000000,342.710609,29.995323,0.142014,1,81,180366,DAVIESS,1,1
2223,1,33870,28469,1632.076912,0.000000,342.710609,29.995322,0.140832,1,81,180366,DAVIESS,1,1
2237,1,34094,35005,6955.032127,0.000000,1684.559729,71.903448,0.676648,2,1,181416,DUBOIS,1,1
2238,1,35005,35019,6955.032127,0.000000,1684.559729,71.903445,0.674344,2,1,181416,DUBOIS,1,1
2239,1,34950,34947,1999.148175,0.000000,118.506563,29.996482,0.205981,1,81,181413,DUBOIS,1,1
2240,1,34947,34948,1999.148175,0.000000,118.506563,29.996483,0.208174,1,81,181412,SPENCER,1,1
2512,1,35019,34936,6955.032127,0.000000,1684.559729,71.903449,0.951135,2,1,181415,SPENCER,1,1
2513,1,34936,34937,6955.032127,0.000000,1684.559729,71.903450,0.947994,2,1,181415,SPENCER,1,1
2514,1,34597,34836,112.137771,0.000000,2.506571,30.000000,0.308037,1,81,181397,SPENCER,1,1
2515,1,34836,34837,112.137771,0.000000,2.506571,30.000000,0.363242,1,81,181404,SPENCER,1,1
2516,1,34808,34800,584.616909,0.000000,61.234111,29.999964,0.196650,1,81,181403,SPENCER,1,1
2517,1,34800,34801,584.616909,0.000000,61.234111,29.999964,0.198239,1,81,181403,SPENCER,1,1
2518,1,34810,34802,1427.006593,0.000000,533.110282,29.993102,0.196701,1,81,181404,SPENCER,1,1
2519,1,34802,34803,1427.006593,0.000000,533.110282,29.993101,0.198362,1,81,181404,SPENCER,1,1
2542,1,28405,28406,678.845081,0.000000,43.965344,29.999951,0.184166,1,81,181390,WARRICK,1,1
2543,1,28406,32562,678.845081,0.000000,43.965344,29.999950,0.187852,1,81,181390,WARRICK,1,1
2568,1,30201,30216,1557.850219,0.000000,13.266853,29.999776,0.139833,1,81,181138,WARRICK,1,1
2569,1,30216,30217,1557.850219,0.000000,13.266853,29.999775,0.124340,1,81,181138,WARRICK,1,1
2583,1,40321,40322,792.803825,0.000000,14.460388,44.999975,0.255114,1,82,180583,MONROE,1,1
2584,1,40322,39360,792.803825,0.000000,14.460388,44.999975,0.270631,1,82,180583,MONROE,1,1
2585,1,39780,39781,1056.190467,0.000000,10.850604,29.999822,0.211412,1,81,180564,GREENE,1,1
2586,1,39781,39767,1056.190467,0.000000,10.850604,29.999822,0.206166,1,81,180564,GREENE,1,1
2587,1,39768,39846,411.294173,0.000000,11.006115,29.999995,0.182949,1,81,180562,GREENE,1,1
2588,1,39846,39847,411.294173,0.000000,11.006115,29.999995,0.169633,1,81,180562,GREENE,1,1
2660,1,36859,36885,781.181932,0.000000,5.984026,29.999949,0.193526,1,81,181442,CRAWFORD,1,1
2661,1,36885,36743,781.181932,0.000000,5.984026,29.999948,0.181343,1,81,181442,CRAWFORD,1,1
2662,1,28407,28408,6219.378921,0.000000,7593.914499,69.729231,7.651996,2,1,180365,DAVIESS,1,1
2888,1,34067,34068,6112.130625,0.000000,1861.445817,71.917381,4.937531,2,1,181411,PERRY,1,1
2889,1,35536,35493,407.018803,0.000000,5.788618,29.999997,0.134378,1,81,181410,PERRY,1,1
2890,1,35493,34093,407.018803,0.000000,5.788618,29.999996,0.126614,1,81,181410,PERRY,1,1
2935,1,34938,34939,6112.130625,0.000000,1861.445817,71.917387,1.153493,2,1,181415,SPENCER,1,1
2936,1,34939,35003,6112.130625,0.000000,1861.445817,71.917384,1.149965,2,1,181415,SPENCER,1,1
2937,1,34596,34597,6770.297258,0.000000,1727.873421,71.906270,4.105210,2,1,181398,SPENCER,1,1
2938,1,34837,34838,2214.057076,0.000000,320.709080,55.999483,0.144094,2,3,181404,SPENCER,1,1
2939,1,34838,34841,2214.057076,0.000000,320.709080,55.999481,0.145159,2,3,181404,SPENCER,1,1
2958,1,34773,34776,7350.246647,0.000000,1406.026575,71.912604,0.317577,2,1,181390,WARRICK,1,1
2959,1,34776,28405,7350.246647,0.000000,1406.026575,71.912601,0.318015,2,1,181390,WARRICK,1,1
2961,1,30958,30967,2876.294068,0.000000,70.917982,29.988848,0.184527,1,81,181267,WARRICK,1,1
2976,1,30268,30241,4524.503451,0.000000,396.361347,29.968417,0.147885,1,81,181317,WARRICK,1,1
2977,1,30241,30075,4524.503451,0.000000,396.361347,29.968419,0.154721,1,81,181317,WARRICK,1,1
2980,1,30218,30219,2735.220020,0.000000,27.468025,29.997829,0.128915,1,81,181138,WARRICK,1,1
2981,1,30219,30220,2735.220020,0.000000,27.468025,11.567733,0.143757,1,81,181138,WARRICK,1,1
2982,1,30220,30235,2229.157953,0.000000,15.422412,29.999071,0.123165,1,81,181319,WARRICK,1,1
2983,1,30235,30211,2229.157953,0.000000,15.422412,29.999070,0.122143,1,81,181319,WARRICK,1,1
3073,1,33997,33998,6324.078527,0.000000,2576.926116,71.838916,5.627811,2,1,181442,CRAWFORD,1,1
3074,1,28474,33871,1126.481502,0.000000,405.479065,29.997499,0.144772,1,81,180366,DAVIESS,1,1
3075,1,33871,33846,1126.481502,0.000000,405.479065,29.997502,0.150466,1,81,180366,DAVIESS,1,1
3076,1,28408,33854,388.753971,0.000000,413.839304,29.999534,0.147583,1,81,180365,DAVIESS,1,1
3077,1,33854,33855,388.753971,0.000000,413.839304,11.792338,0.148342,1,81,180365,DAVIESS,1,1
3112,1,34940,34949,1683.613225,0.000000,168.028585,29.997551,0.155858,1,81,181413,DUBOIS,1,1
3113,1,34949,34953,1683.613225,0.000000,168.028585,29.997550,0.155459,1,81,181413,DUBOIS,1,1
3340,1,35625,35626,1144.171975,0.000000,754.300663,29.990227,0.163847,1,81,181445,PERRY,1,1
3341,1,35626,35628,1144.171975,0.000000,754.300663,29.990226,0.157514,1,81,181445,PERRY,1,1
3406,1,30930,30931,3220.560017,0.000000,480.185364,44.929319,0.084042,1,82,181268,WARRICK,1,1
3407,1,30931,30574,3220.560017,0.000000,480.185364,44.929319,0.080526,1,82,181268,WARRICK,1,1
3408,1,32564,28409,377.172998,0.000000,70.319286,29.999987,0.139082,1,81,181390,WARRICK,1,1
3409,1,28409,28410,377.172998,0.000000,70.319286,29.999987,0.137101,1,81,181390,WARRICK,1,1
3428,1,30221,30222,13138.959706,0.000000,6689.116749,60.785984,0.225407,2,1,181138,WARRICK,1,1
3429,1,30222,30211,13138.959706,0.000000,6689.116749,60.785984,0.244906,2,1,181138,WARRICK,1,1
3430,1,30242,30200,13318.174487,0.000000,5688.012869,61.624819,0.578501,2,1,181318,WARRICK,1,1
3431,1,30200,30201,13318.174487,0.000000,5688.012869,61.624814,0.584892,2,1,181319,WARRICK,1,1
3444,1,39343,39482,1902.218672,0.000000,573.205897,29.985147,0.126499,1,81,180535,GREENE,1,1
3445,1,39482,39384,1902.218672,0.000000,573.205897,29.985145,0.127566,1,81,180535,GREENE,1,1
3446,1,39774,39782,1129.243273,0.000000,60.143886,29.999659,0.229543,1,81,180564,GREENE,1,1
3447,1,39782,39783,1129.243273,0.000000,60.143886,29.999660,0.223506,1,81,180564,GREENE,1,1
3448,1,39838,39836,1396.396167,0.000000,19.894382,29.999436,0.220419,1,81,180562,GREENE,1,1
3449,1,39836,39837,1396.396167,0.000000,19.894382,29.999436,0.216991,1,81,180562,GREENE,1,1
3468,1,33508,33546,5125.024115,0.000000,2020.408004,50.074392,0.191028,1,3,180423,DAVIESS,1,1
3468,-1,33546,33508,5519.255108,0.000000,1254.727859,14.277014,0.191028,1,3,180423,DAVIESS,1,1
3469,1,33546,990237,5125.024115,0.000000,2020.408004,50.074396,0.122792,1,3,180423,DAVIESS,1,1
3469,-1,990237,33546,5519.255108,0.000000,1254.727859,50.499388,0.122792,1,3,180423,DAVIESS,1,1
3470,1,39451,39454,2551.852003,0.000000,809.392737,50.961129,0.123912,1,3,180541,DAVIESS,1,1
3470,-1,39454,39451,2941.022532,0.000000,601.300137,50.964742,0.123912,1,3,180541,DAVIESS,1,1
3471,1,39454,39452,2551.852003,0.000000,809.392737,10.303197,0.122819,1,3,180368,DAVIESS,1,1
3471,-1,39452,39454,2941.022532,0.000000,601.300137,50.964740,0.122819,1,3,180368,DAVIESS,1,1
3472,1,39472,39483,4025.416502,0.000000,1327.513789,50.743481,0.073179,1,3,180535,GREENE,1,1
3472,-1,39483,39472,3944.758274,0.000000,820.138513,6.675084,0.073179,1,3,180535,GREENE,1,1
3473,1,39483,39480,4025.416502,0.000000,1327.513789,50.743478,0.073165,1,3,180535,GREENE,1,1
3473,-1,39480,39483,3944.758274,0.000000,820.138513,50.883515,0.073165,1,3,180535,GREENE,1,1
3476,1,35960,35963,244.836885,0.000000,6.843437,38.999965,0.125676,1,6,180903,DAVIESS,1,1
3476,-1,35963,35960,242.720841,0.000000,8.445028,38.999965,0.125676,1,6,180903,DAVIESS,1,1
3477,1,35963,35961,244.836885,0.000000,6.843437,38.999966,0.125607,1,6,180473,DAVIESS,1,1
3477,-1,35961,35963,242.720841,0.000000,8.445028,38.999966,0.125607,1,6,180473,DAVIESS,1,1
3478,1,35961,35962,244.836885,0.000000,6.843437,38.999965,0.125676,1,6,180473,DAVIESS,1,1
3478,-1,35962,35961,242.720841,0.000000,8.445028,38.999965,0.125676,1,6,180473,DAVIESS,1,1
3479,1,35962,35959,244.836885,0.000000,6.843437,38.999964,0.125616,1,6,180473,DAVIESS,1,1
3479,-1,35959,35962,242.720841,0.000000,8.445028,38.999964,0.125616,1,6,180473,DAVIESS,1,1
3490,1,33909,33624,3730.133517,0.000000,8.122031,47.943603,1.004085,1,5,180429,GREENE,1,1
3490,-1,33624,33909,3653.351458,0.000000,7.650582,33.261878,1.004085,1,5,180429,GREENE,1,1
3491,1,33986,33981,394.729130,0.000000,0.579527,47.999991,2.008362,1,5,180429,GREENE,1,1
3491,-1,33981,33986,334.864072,0.000000,0.000000,47.999995,2.008362,1,5,180429,GREENE,1,1
3492,1,33981,33982,394.729130,0.000000,0.579527,47.999991,2.008294,1,5,180457,GREENE,1,1
3492,-1,33982,33981,334.864072,0.000000,0.000000,47.999995,2.008294,1,5,180457,GREENE,1,1
3493,1,33982,33983,394.729130,0.000000,0.579527,47.999990,2.008263,1,5,180455,GREENE,1,1
3493,-1,33983,33982,334.864072,0.000000,0.000000,47.999994,2.008263,1,5,180455,GREENE,1,1
3552,1,39309,39261,3645.224747,0.000000,520.655931,33.997038,0.125431,2,3,180504,LAWRENCE,1,1
3553,1,39261,39262,3645.224747,0.000000,520.655931,33.997041,0.125200,2,3,180504,LAWRENCE,1,1
3554,1,39262,41358,3645.224747,0.000000,520.655931,33.997038,0.127286,2,3,180504,LAWRENCE,1,1
3555,1,41358,41359,3645.224747,0.000000,520.655931,33.997039,0.129718,2,3,180504,LAWRENCE,1,1
3662,1,38605,38611,638.409846,0.000000,22.863170,47.999933,0.140101,1,5,180493,LAWRENCE,1,1
3662,-1,38611,38605,1054.940971,0.000000,18.058219,47.999581,0.140101,1,5,180493,LAWRENCE,1,1
3663,1,38611,38612,638.409846,0.000000,22.863170,47.999933,0.140032,1,5,180493,LAWRENCE,1,1
3663,-1,38612,38611,1054.940971,0.000000,18.058219,47.999581,0.140032,1,5,180493,LAWRENCE,1,1
3664,1,38612,38614,638.409846,0.000000,22.863170,47.999936,0.070018,1,5,180493,LAWRENCE,1,1
3664,-1,38614,38612,1054.940971,0.000000,18.058219,47.999584,0.070018,1,5,180493,LAWRENCE,1,1
3665,1,38563,38564,452.624959,0.000000,15.955403,47.999987,0.140039,1,5,180493,LAWRENCE,1,1
3665,-1,38564,38563,873.367667,0.000000,19.271473,47.999799,0.140039,1,5,180493,LAWRENCE,1,1
3674,1,35496,35529,20.322945,0.000000,1.564710,47.999997,1.289897,1,5,181422,PERRY,1,1
3674,-1,35529,35496,103.803809,0.000000,1.564955,47.999997,1.289897,1,5,181422,PERRY,1,1
3675,1,35529,35527,20.322945,0.000000,1.564710,48.000000,0.160565,1,5,181422,PERRY,1,1
3675,-1,35527,35529,103.803809,0.000000,1.564955,48.000000,0.160565,1,5,181422,PERRY,1,1
3676,1,35402,35403,0.000000,0.000000,0.005533,48.000002,1.297708,1,5,181447,PERRY,1,1
3676,-1,35403,35402,83.999213,0.000000,0.005532,48.000002,1.297708,1,5,181447,PERRY,1,1
3677,1,35403,35617,0.000000,0.000000,0.005533,48.000000,1.291967,1,5,181447,PERRY,1,1
3677,-1,35617,35403,83.999213,0.000000,0.005532,48.000000,1.291967,1,5,181447,PERRY,1,1
3746,1,34841,34726,2271.709686,0.000000,315.585273,50.991950,0.283258,1,3,181400,DUBOIS,1,1
3746,-1,34726,34841,2915.794644,0.000000,309.038021,50.982878,0.283258,1,3,181400,DUBOIS,1,1
3747,1,34726,34727,2271.709686,0.000000,315.585273,50.991946,0.280970,1,3,181400,DUBOIS,1,1
3747,-1,34727,34726,2915.794644,0.000000,309.038021,50.982874,0.280970,1,3,181400,DUBOIS,1,1
3748,1,34727,34858,2271.709686,0.000000,315.585273,50.991949,0.285853,1,3,181399,DUBOIS,1,1
3748,-1,34858,34727,2915.794644,0.000000,309.038021,50.982874,0.285853,1,3,181399,DUBOIS,1,1
3749,1,34858,34732,2271.709686,0.000000,315.585273,50.991947,0.291356,1,3,181399,DUBOIS,1,1
3749,-1,34732,34858,2915.794644,0.000000,309.038021,50.982875,0.291356,1,3,181399,DUBOIS,1,1
3828,1,35909,990292,818.537069,0.000000,112.337218,51.999822,0.446055,1,4,180470,MARTIN,1,1
3828,-1,990292,35909,1793.324722,0.000000,107.226812,51.997762,0.446055,1,4,180470,MARTIN,1,1
3829,1,36079,36080,818.537069,0.000000,112.337218,51.999821,0.575195,1,4,180478,MARTIN,1,1
