Ltype,Speed,pollutantID_1,pollutantID_2,pollutantID_3,pollutantID_5,pollutantID_6,pollutantID_20,pollutantID_24,pollutantID_25,pollutantID_26,pollutantID_27,pollutantID_63,pollutantID_65,pollutantID_68,pollutantID_69,pollutantID_70,pollutantID_71,pollutantID_72,pollutantID_73,pollutantID_74,pollutantID_75,pollutantID_76,pollutantID_77,pollutantID_78,pollutantID_79,pollutantID_81,pollutantID_82,pollutantID_83,pollutantID_84,pollutantID_87,pollutantID_90,pollutantID_91,pollutantID_92,pollutantID_98,pollutantID_100,pollutantID_106,pollutantID_107,pollutantID_110,pollutantID_111,pollutantID_112,pollutantID_115,pollutantID_116,pollutantID_117,pollutantID_118,pollutantID_119,pollutantID_168,pollutantID_169,pollutantID_170,pollutantID_171,pollutantID_172,pollutantID_173,pollutantID_174,pollutantID_175,pollutantID_176,pollutantID_177,pollutantID_178,pollutantID_181,pollutantID_182,pollutantID_183,pollutantID_184
fwyr,13,0.05343681,1.214158111,0.590198599,0.006792367,0.003515175,0.000763483,0.000284624,0.004629986,0.002171686,0.000338074,1.15E-06,5.94E-09,1.69E-07,1.98E-05,1.17E-11,2.27E-08,5.18E-06,1.04E-05,4.38E-06,1.41E-06,1.65E-06,4.21E-07,6.63E-06,0.050434651,8.87E-06,8.42E-07,2.08E-05,2.86E-05,0.045003468,480.4383475,6603.5666,0.005772507,481.8237756,0.034290127,0.094369969,0.0099081,0.031506163,0.011195092,0.014819384,0.001246205,0.0117962,0.001486205,0.016686786,0,0,1.71E-05,1.41E-05,2.84E-05,1.12E-05,2.02E-06,1.19E-08,1.63E-07,3.50E-08,1.63E-07,9.49E-07,2.41E-05,0,4.12E-05,2.04E-05
fwyr,14,0.05343681,1.214158111,0.590198599,0.006792367,0.003515175,0.000763483,0.000284624,0.004629986,0.002171686,0.000338074,1.15E-06,5.94E-09,1.69E-07,1.98E-05,1.17E-11,2.27E-08,5.18E-06,1.04E-05,4.38E-06,1.41E-06,1.65E-06,4.21E-07,6.63E-06,0.050434651,8.87E-06,8.42E-07,2.08E-05,2.86E-05,0.045003468,480.4383475,6603.5666,0.005772507,481.8237756,0.034290127,0.094369969,0.0099081,0.031506163,0.011195092,0.014819384,0.001246205,0.0117962,0.001486205,0.016686786,0,0,1.71E-05,1.41E-05,2.84E-05,1.12E-05,2.02E-06,1.19E-08,1.63E-07,3.50E-08,1.63E-07,9.49E-07,2.41E-05,0,4.12E-05,2.04E-05
fwyr,15,0.05343681,1.214158111,0.590198599,0.006792367,0.003515175,0.000763483,0.000284624,0.004629986,0.002171686,0.000338074,1.15E-06,5.94E-09,1.69E-07,1.98E-05,1.17E-11,2.27E-08,5.18E-06,1.04E-05,4.38E-06,1.41E-06,1.65E-06,4.21E-07,6.63E-06,0.050434651,8.87E-06,8.42E-07,2.08E-05,2.86E-05,0.045003468,480.4383475,6603.5666,0.005772507,481.8237756,0.034290127,0.094369969,0.0099081,0.031506163,0.011195092,0.014819384,0.001246205,0.0117962,0.001486205,0.016686786,0,0,1.71E-05,1.41E-05,2.84E-05,1.12E-05,2.02E-06,1.19E-08,1.63E-07,3.50E-08,1.63E-07,9.49E-07,2.41E-05,0,4.12E-05,2.04E-05
fwyr,16,0.05343681,1.214158111,0.590198599,0.006792367,0.003515175,0.000763483,0.000284624,0.004629986,0.002171686,0.000338074,1.15E-06,5.94E-09,1.69E-07,1.98E-05,1.17E-11,2.27E-08,5.18E-06,1.04E-05,4.38E-06,1.41E-06,1.65E-06,4.21E-07,6.63E-06,0.050434651,8.87E-06,8.42E-07,2.08E-05,2.86E-05,0.045003468,480.4383475,6603.5666,0.005772507,481.8237756,0.034290127,0.094369969,0.0099081,0.031506163,0.011195092,0.014819384,0.001246205,0.0117962,0.001486205,0.016686786,0,0,1.71E-05,1.41E-05,2.84E-05,1.12E-05,2.02E-06,1.19E-08,1.63E-07,3.50E-08,1.63E-07,9.49E-07,2.41E-05,0,4.12E-05,2.04E-05
fwyr,17,0.05343681,1.214158111,0.590198599,0.006792367,0.003515175,0.000763483,0.000284624,0.004629986,0.002171686,0.000338074,1.15E-06,5.94E-09,1.69E-07,1.98E-05,1.17E-11,2.27E-08,5.18E-06,1.04E-05,4.38E-06,1.41E-06,1.65E-06,4.21E-07,6.63E-06,0.050434651,8.87E-06,8.42E-07,2.08E-05,2.86E-05,0.045003468,480.4383475,6603.5666,0.005772507,481.8237756,0.034290127,0.094369969,0.0099081,0.031506163,0.011195092,0.014819384,0.001246205,0.0117962,0.001486205,0.016686786,0,0,1.71E-05,1.41E-05,2.84E-05,1.12E-05,2.02E-06,1.19E-08,1.63E-07,3.50E-08,1.63E-07,9.49E-07,2.41E-05,0,4.12E-05,2.04E-05
fwyr,18,0.042362529,1.078191579,0.514128761,0.005352629,0.00263638,0.000609849,0.000223067,0.003592446,0.001688449,0.000262058,1.15E-06,5.94E-09,1.32E-07,1.54E-05,1.08E-11,1.95E-08,4.02E-06,8.08E-06,3.44E-06,1.11E-06,1.40E-06,3.48E-07,5.15E-06,0.039997369,6.88E-06,6.98E-07,1.62E-05,2.22E-05,0.035627775,412.8682124,5673.258372,0.004950818,413.9199047,0.02969977,0.064764999,0.0091962,0.027288729,0.008743897,0.014143821,0.001083992,0.0080956,0.00137942,0.013144906,0,0,1.33E-05,1.10E-05,2.22E-05,8.70E-06,1.57E-06,9.58E-09,1.31E-07,2.71E-08,1.31E-07,7.42E-07,1.87E-05,0,3.21E-05,1.59E-05
fwyr,19,0.042362529,1.078191579,0.514128761,0.005352629,0.00263638,0.000609849,0.000223067,0.003592446,0.001688449,0.000262058,1.15E-06,5.94E-09,1.32E-07,1.54E-05,1.08E-11,1.95E-08,4.02E-06,8.08E-06,3.44E-06,1.11E-06,1.40E-06,3.48E-07,5.15E-06,0.039997369,6.88E-06,6.98E-07,1.62E-05,2.22E-05,0.035627775,412.8682124,5673.258372,0.004950818,413.9199047,0.02969977,0.064764999,0.0091962,0.027288729,0.008743897,0.014143821,0.001083992,0.0080956,0.00137942,0.013144906,0,0,1.33E-05,1.10E-05,2.22E-05,8.70E-06,1.57E-06,9.58E-09,1.31E-07,2.71E-08,1.31E-07,7.42E-07,1.87E-05,0,3.21E-05,1.59E-05
fwyr,20,0.042362529,1.078191579,0.514128761,0.005352629,0.00263638,0.000609849,0.000223067,0.003592446,0.001688449,0.000262058,1.15E-06,5.94E-09,1.32E-07,1.54E-05,1.08E-11,1.95E-08,4.02E-06,8.08E-06,3.44E-06,1.11E-06,1.40E-06,3.48E-07,5.15E-06,0.039997369,6.88E-06,6.98E-07,1.62E-05,2.22E-05,0.035627775,412.8682124,5673.258372,0.004950818,413.9199047,0.02969977,0.064764999,0.0091962,0.027288729,0.008743897,0.014143821,0.001083992,0.0080956,0.00137942,0.013144906,0,0,1.33E-05,1.10E-05,2.22E-05,8.70E-06,1.57E-06,9.58E-09,1.31E-07,2.71E-08,1.31E-07,7.42E-07,1.87E-05,0,3.21E-05,1.59E-05
fwyr,21,0.042362529,1.078191579,0.514128761,0.005352629,0.00263638,0.000609849,0.000223067,0.003592446,0.001688449,0.000262058,1.15E-06,5.94E-09,1.32E-07,1.54E-05,1.08E-11,1.95E-08,4.02E-06,8.08E-06,3.44E-06,1.11E-06,1.40E-06,3.48E-07,5.15E-06,0.039997369,6.88E-06,6.98E-07,1.62E-05,2.22E-05,0.035627775,412.8682124,5673.258372,0.004950818,413.9199047,0.02969977,0.064764999,0.0091962,0.027288729,0.008743897,0.014143821,0.001083992,0.0080956,0.00137942,0.013144906,0,0,1.33E-05,1.10E-05,2.22E-05,8.70E-06,1.57E-06,9.58E-09,1.31E-07,2.71E-08,1.31E-07,7.42E-07,1.87E-05,0,3.21E-05,1.59E-05
fwyr,22,0.042362529,1.078191579,0.514128761,0.005352629,0.00263638,0.000609849,0.000223067,0.003592446,0.001688449,0.000262058,1.15E-06,5.94E-09,1.32E-07,1.54E-05,1.08E-11,1.95E-08,4.02E-06,8.08E-06,3.44E-06,1.11E-06,1.40E-06,3.48E-07,5.15E-06,0.039997369,6.88E-06,6.98E-07,1.62E-05,2.22E-05,0.035627775,412.8682124,5673.258372,0.004950818,413.9199047,0.02969977,0.064764999,0.0091962,0.027288729,0.008743897,0.014143821,0.001083992,0.0080956,0.00137942,0.013144906,0,0,1.33E-05,1.10E-05,2.22E-05,8.70E-06,1.57E-06,9.58E-09,1.31E-07,2.71E-08,1.31E-07,7.42E-07,1.87E-05,0,3.21E-05,1.59E-05
