TAZ,households
180933,131
180934,387
180935,77
180936,62
180937,357
180938,82
180939,87
180940,126
180941,993
180942,28
180943,136
180944,77
180945,62
180946,218
180947,194
180948,159
180949,369
180950,209
180951,324
180952,276
180953,73
180954,71
180955,87
180956,65
180957,31
180958,35
180959,396
180960,162
180961,245
180962,15
180963,119
180964,783
180965,369
180966,346
180967,37
180968,2
180969,154
180970,134
180971,574
180972,96
180973,449
180974,192
180975,61
180976,3174
180977,47
180978,1323
180979,64
180980,1054
180981,334
180982,66
180983,1409
180984,868
180985,42
180986,163
180987,64
180988,90
180989,186
180990,148
180991,76
180992,353
180993,75
180994,34
180995,28
180996,30
180997,107
180998,79
180999,4
181000,27
181001,39
181002,6
181003,211
181004,12
181005,26
181006,30
181007,39
181008,32
181009,128
181010,70
181011,146
181012,649
181013,525
181014,330
181015,200
181016,195
181017,31
181018,139
181019,245
181020,131
181021,280
181022,244
181023,1055
181024,142
181025,333
181026,491
181027,414
181028,97
181029,78
181030,277
181031,129
181032,88
181033,109
181034,292
181035,160
181036,114
181037,503
181038,2291
181039,11
181040,59
181041,87
181042,82
181043,51
181044,616
181045,192
181046,498
181047,187
181048,491
181049,654
181050,210
181051,109
181052,170
181053,984
181054,88
181055,152
181056,402
181057,212
181058,136
181059,88
181060,155
181061,90
181062,79
181063,189
181064,107
181065,18
181066,166
181067,397
181068,1847
181069,317
181070,3304
181071,3886
181072,3015
181073,276
181074,521
181075,2193
181076,319
181077,616
181078,1432
181079,2822
181080,460
181081,3000
181082,220
181083,123
181084,54
181085,1953
181086,531
181087,70
181088,547
181089,33
181090,35
181091,32
181092,184
181093,100
181094,5
181095,47
181096,1098
181097,86
181098,636
181099,541
181100,158
181101,79
181102,151
181103,1346
181104,64
181105,4
181106,98
181107,3661
181108,1290
181109,2339
181110,169
181111,2
181112,1751
181113,139
181114,1762
181115,236
181116,1140
181117,49
181118,254
181119,36
181120,195
181121,927
181122,1307
181123,3215
181124,1322
181125,1333
181126,131
181127,3229
181128,0
181129,1762
181130,991
181131,1950
181132,5565
181133,1347
181134,4908
181135,470
181136,1782
181137,6703
181138,322
181139,498
181140,106
181141,613
181142,685
181143,334
181144,77
181145,19
181146,64
181147,131
181148,229
181149,936
181150,279
181151,111
181152,245
181153,55
181154,312
181155,78
181156,4
181157,100
181158,32
181159,287
181160,28
181161,204
181162,312
181163,188
181164,164
181165,30
181166,465
181167,295
181168,457
181169,18
181170,69
181171,90
181172,372
181173,246
181174,457
181175,119
181176,462
181177,239
181178,377
181179,162
181180,364
181181,26
181182,176
181183,151
181184,34
181185,104
181186,39
181187,18
181188,31
181189,186
181190,87
181191,67
181192,148
181193,40
181194,31
181195,7
181196,120
181197,115
181198,74
181199,7
181200,7
181201,901
181202,165
181203,302
181204,170
181205,84
181206,161
181207,878
181208,567
181209,166
181210,392
181211,233
181212,514
181213,70
181214,201
181215,546
181216,87
181217,1508
181218,372
181219,547
181220,255
181221,325
181222,804
181223,596
181224,572
181225,1378
181226,5230
181227,951
181228,597
181229,1399
181230,330
181231,37
181232,99
181233,192
181234,416
181235,1959
181236,4185
181237,837
181238,1912
181239,167
181240,28
181241,104
181242,46
181243,98
181244,175
181245,16
181246,352
181247,242
181248,34
181249,34
181250,6
181251,437
181252,297
181253,80
181254,206
181255,70
181256,99
181257,54
181258,116
181259,86
181260,20
181261,72
181262,78
181263,178
181264,77
181265,32
181266,13
181267,77
181268,37
181269,270
181270,72
181271,356
181272,10
181273,13
181274,178
181275,257
181276,106
181277,195
181278,376
181279,19
181280,213
181281,123
181282,243
181283,146
181284,43
181285,19
181286,26
181287,55
181288,112
181289,175
181290,151
181291,343
181292,28
181293,271
181294,111
181295,90
181296,261
181297,144
181298,84
181299,83
181300,382
181301,445
181302,218
181303,202
181304,74
